era,year,month,sector,variable,spread,n_products,max_val,min_val
CS2,2013,9,Ross,hfr,0.04778755456209183,5,0.11898579448461533,0.0711982399225235
CS2,2013,9,Ross,hfi,0.049738965928554535,5,0.16549189388751984,0.1157529279589653
CS2,2013,9,Ross,hs,0.0848136693239212,5,0.21052131056785583,0.12570764124393463
CS2,2013,9,Ross,hsc,0.010851580649614334,5,0.04596986994147301,0.03511828929185867
CS2,2013,9,Western_Pacific,hfr,0.058839984238147736,5,0.17786690592765808,0.11902692168951035
CS2,2013,9,Western_Pacific,hfi,0.059337273240089417,5,0.21024350821971893,0.15090623497962952
CS2,2013,9,Western_Pacific,hs,0.0681731253862381,5,0.2020406574010849,0.1338675320148468
CS2,2013,9,Western_Pacific,hsc,0.012238714843988419,5,0.04411802068352699,0.031879305839538574
CS2,2013,9,Western_Weddell,hfr,0.11705344915390015,5,0.2203577756881714,0.10330432653427124
CS2,2013,9,Western_Weddell,hfi,0.1370866447687149,5,0.30658039450645447,0.16949374973773956
CS2,2013,9,Western_Weddell,hs,0.07406444847583771,5,0.3062811493873596,0.2322167009115219
CS2,2013,9,Western_Weddell,hsc,0.004054762423038483,5,0.06688019633293152,0.06282543390989304
CS2,2013,10,Amundsen_Bellingshausen,hfr,0.07724284753203392,5,0.13161462545394897,0.054371777921915054
CS2,2013,10,Amundsen_Bellingshausen,hfi,0.08343514800071716,5,0.18356657028198242,0.10013142228126526
CS2,2013,10,Amundsen_Bellingshausen,hs,0.08651946485042572,5,0.2520667612552643,0.16554729640483856
CS2,2013,10,Amundsen_Bellingshausen,hsc,0.008881185203790665,5,0.053755924105644226,0.04487473890185356
CS2,2013,10,Eastern_Weddell,hfr,0.10026156902313232,5,0.1570833921432495,0.05682182312011719
CS2,2013,10,Eastern_Weddell,hfi,0.12050855159759521,5,0.2156311720609665,0.09512262046337128
CS2,2013,10,Eastern_Weddell,hs,0.09894183278083801,5,0.25952762365341187,0.16058579087257385
CS2,2013,10,Eastern_Weddell,hsc,0.017078526318073273,5,0.0553470216691494,0.038268495351076126
CS2,2013,10,Indian,hfr,0.07109568966552615,5,0.07709426432847977,0.005998574662953615
CS2,2013,10,Indian,hfi,0.06975802034139633,5,0.1118156760931015,0.04205765575170517
CS2,2013,10,Indian,hs,0.1083173155784607,5,0.21588805317878723,0.10757073760032654
CS2,2013,10,Indian,hsc,0.021299393847584724,5,0.04604042321443558,0.024741029366850853
CS2,2013,10,Ross,hfr,0.04633183032274246,5,0.12077128142118454,0.07443945109844208
CS2,2013,10,Ross,hfi,0.05183006823062897,5,0.16516605019569397,0.113335981965065
CS2,2013,10,Ross,hs,0.05428101122379303,5,0.17997945845127106,0.12569844722747803
CS2,2013,10,Ross,hsc,0.004823584109544754,5,0.03889653459191322,0.03407295048236847
CS2,2013,10,Western_Pacific,hfr,0.0898812860250473,5,0.1636035293340683,0.073722243309021
CS2,2013,10,Western_Pacific,hfi,0.08883237093687057,5,0.19654616713523865,0.10771379619836807
CS2,2013,10,Western_Pacific,hs,0.11579747498035431,5,0.23517566919326782,0.11937819421291351
CS2,2013,10,Western_Pacific,hsc,0.02160368673503399,5,0.05015372112393379,0.028550034388899803
CS2,2013,10,Western_Weddell,hfr,0.12377898395061493,5,0.23033961653709412,0.10656063258647919
CS2,2013,10,Western_Weddell,hfi,0.1648118793964386,5,0.3293358385562897,0.16452395915985107
CS2,2013,10,Western_Weddell,hs,0.07182776927947998,5,0.31530311703681946,0.24347534775733948
CS2,2013,10,Western_Weddell,hsc,0.012758839875459671,5,0.07068507373332977,0.0579262338578701
CS2,2014,5,Amundsen_Bellingshausen,hfr,0.03157736733555794,5,0.07978365570306778,0.04820628836750984
CS2,2014,5,Amundsen_Bellingshausen,hfi,0.02025069296360016,5,0.10074605792760849,0.08049536496400833
CS2,2014,5,Amundsen_Bellingshausen,hs,0.05327372997999191,5,0.13563048839569092,0.082356758415699
CS2,2014,5,Amundsen_Bellingshausen,hsc,0.01151270605623722,5,0.032475102692842484,0.020962396636605263
CS2,2014,5,Eastern_Weddell,hfr,0.043080344796180725,5,0.09001077711582184,0.04693043231964111
CS2,2014,5,Eastern_Weddell,hfi,0.034543946385383606,5,0.11613469570875168,0.08159074932336807
CS2,2014,5,Eastern_Weddell,hs,0.08505669236183167,5,0.18769195675849915,0.10263526439666748
CS2,2014,5,Eastern_Weddell,hsc,0.011956855654716492,5,0.03808077052235603,0.02612391486763954
CS2,2014,5,Indian,hfr,0.034814514219760895,5,0.08625364303588867,0.05143912881612778
CS2,2014,5,Indian,hfi,0.03013431280851364,5,0.10363037884235382,0.07349606603384018
CS2,2014,5,Indian,hs,0.04633830487728119,5,0.11460782587528229,0.0682695209980011
CS2,2014,5,Indian,hsc,0.008158962242305279,5,0.02325274795293808,0.015093785710632801
CS2,2014,5,Ross,hfr,0.030091453343629837,5,0.07775828242301941,0.04766682907938957
CS2,2014,5,Ross,hfi,0.026078753173351288,5,0.1064801812171936,0.08040142804384232
CS2,2014,5,Ross,hs,0.06192596256732941,5,0.1511293649673462,0.08920340240001678
CS2,2014,5,Ross,hsc,0.010135605931282043,5,0.03284068778157234,0.0227050818502903
CS2,2014,5,Western_Pacific,hfr,0.035316430032253265,5,0.12087320536375046,0.08555677533149719
CS2,2014,5,Western_Pacific,hfi,0.031293533742427826,5,0.14383530616760254,0.11254177242517471
CS2,2014,5,Western_Pacific,hs,0.06308583170175552,5,0.15100428462028503,0.08791845291852951
