reference,year,month,item,value
LEGOS_II,2013,6,caseD_hfi_hash_CCI_CS2,6fbc48f10473
LEGOS_II,2013,7,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2013,7,ref_hs_hash,916b0d56ce4e
LEGOS_II,2013,7,ref_hs_summary,n=4530 mean=0.1663 std=0.0924
LEGOS_II,2013,7,caseD_hfi_hash_CCI_CS2,60bb9d81962a
LEGOS_II,2013,8,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2013,8,ref_hs_hash,db5129a9da64
LEGOS_II,2013,8,ref_hs_summary,n=5116 mean=0.1793 std=0.0949
LEGOS_II,2013,8,caseD_hfi_hash_CCI_CS2,170e3502302a
LEGOS_II,2013,9,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2013,9,ref_hs_hash,735244a152e3
LEGOS_II,2013,9,ref_hs_summary,n=5178 mean=0.1907 std=0.1107
LEGOS_II,2013,9,caseD_hfi_hash_CCI_CS2,16ec308ce4db
LEGOS_II,2013,10,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2013,10,ref_hs_hash,66943e91d5d7
LEGOS_II,2013,10,ref_hs_summary,n=4196 mean=0.2223 std=0.1354
LEGOS_II,2013,10,caseD_hfi_hash_CCI_CS2,ebe0fed505a9
LEGOS_II,2014,5,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2014,5,ref_hs_hash,b4a7b41fe0c1
LEGOS_II,2014,5,ref_hs_summary,n=2781 mean=0.1520 std=0.0971
LEGOS_II,2014,5,caseD_hfi_hash_CCI_CS2,952f636d823e
LEGOS_II,2014,6,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2014,6,ref_hs_hash,c749a47c83f5
LEGOS_II,2014,6,ref_hs_summary,n=3919 mean=0.1672 std=0.0961
LEGOS_II,2014,6,caseD_hfi_hash_CCI_CS2,05b48526d55f
LEGOS_II,2014,7,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2014,7,ref_hs_hash,2e096af82da6
LEGOS_II,2014,7,ref_hs_summary,n=4722 mean=0.1717 std=0.1000
LEGOS_II,2014,7,caseD_hfi_hash_CCI_CS2,71a9d4d08804
LEGOS_II,2014,8,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2014,8,ref_hs_hash,55f3cb02037d
LEGOS_II,2014,8,ref_hs_summary,n=5112 mean=0.1707 std=0.0978
LEGOS_II,2014,8,caseD_hfi_hash_CCI_CS2,909170f41740
LEGOS_II,2014,9,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2014,9,ref_hs_hash,6dfee48d7dd8
LEGOS_II,2014,9,ref_hs_summary,n=5323 mean=0.1852 std=0.1074
LEGOS_II,2014,9,caseD_hfi_hash_CCI_CS2,d781c03dfea5
LEGOS_II,2014,10,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2014,10,ref_hs_hash,c9fcd5a0ca9d
LEGOS_II,2014,10,ref_hs_summary,n=4768 mean=0.2086 std=0.1247
LEGOS_II,2014,10,caseD_hfi_hash_CCI_CS2,107928328767
LEGOS_II,2015,5,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2015,5,ref_hs_hash,a4fea00ff8ed
LEGOS_II,2015,5,ref_hs_summary,n=2957 mean=0.1585 std=0.1022
LEGOS_II,2015,5,caseD_hfi_hash_CCI_CS2,d43b2148261c
LEGOS_II,2015,6,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2015,6,ref_hs_hash,22ee7bbcefe5
LEGOS_II,2015,6,ref_hs_summary,n=3691 mean=0.1640 std=0.0957
LEGOS_II,2015,6,caseD_hfi_hash_CCI_CS2,0f70a6cc69cb
LEGOS_II,2015,7,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2015,7,ref_hs_hash,ae1c6fcc8f49
LEGOS_II,2015,7,ref_hs_summary,n=4426 mean=0.1703 std=0.0978
LEGOS_II,2015,7,caseD_hfi_hash_CCI_CS2,e38fce97bf49
LEGOS_II,2015,8,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2015,8,ref_hs_hash,4dd73fb9d5b2
LEGOS_II,2015,8,ref_hs_summary,n=4651 mean=0.1850 std=0.1083
LEGOS_II,2015,8,caseD_hfi_hash_CCI_CS2,ccaee968e118
LEGOS_II,2015,9,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2015,9,ref_hs_hash,7360cdb8cbb7
LEGOS_II,2015,9,ref_hs_summary,n=4664 mean=0.1802 std=0.1108
LEGOS_II,2015,9,caseD_hfi_hash_CCI_CS2,4545fc9d7a42
LEGOS_II,2015,10,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2015,10,ref_hs_hash,a6395f986071
LEGOS_II,2015,10,ref_hs_summary,n=4555 mean=0.1973 std=0.1281
LEGOS_II,2015,10,caseD_hfi_hash_CCI_CS2,661cfecfa205
LEGOS_II,2016,5,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2016,5,ref_hs_hash,2db2fce1bd0d
LEGOS_II,2016,5,ref_hs_summary,n=2418 mean=0.1527 std=0.1007
LEGOS_II,2016,5,caseD_hfi_hash_CCI_CS2,554bcb5cc745
LEGOS_II,2016,6,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2016,6,ref_hs_hash,ecb9757dcbfb
LEGOS_II,2016,6,ref_hs_summary,n=3342 mean=0.1510 std=0.1001
LEGOS_II,2016,6,caseD_hfi_hash_CCI_CS2,5f8d6892bfb5
LEGOS_II,2016,7,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2016,7,ref_hs_hash,bb6a4c9b3150
LEGOS_II,2016,7,ref_hs_summary,n=4078 mean=0.1565 std=0.1027
LEGOS_II,2016,7,caseD_hfi_hash_CCI_CS2,a40b297cb0a9
LEGOS_II,2016,8,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2016,8,ref_hs_hash,d41b6d0d78c5
LEGOS_II,2016,8,ref_hs_summary,n=4671 mean=0.1604 std=0.1000
LEGOS_II,2016,8,caseD_hfi_hash_CCI_CS2,285724dc1d24
LEGOS_II,2016,9,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2016,9,ref_hs_hash,5bdb4425ee75
LEGOS_II,2016,9,ref_hs_summary,n=4434 mean=0.1832 std=0.1180
LEGOS_II,2016,9,caseD_hfi_hash_CCI_CS2,653c13e3070d
LEGOS_II,2016,10,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2016,10,ref_hs_hash,9d0bfa09e047
LEGOS_II,2016,10,ref_hs_summary,n=4035 mean=0.2118 std=0.1282
LEGOS_II,2016,10,caseD_hfi_hash_CCI_CS2,ced71bc47f7b
LEGOS_II,2017,5,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2017,5,ref_hs_hash,549d26f90147
LEGOS_II,2017,5,ref_hs_summary,n=1958 mean=0.1313 std=0.0925
LEGOS_II,2017,5,caseD_hfi_hash_CCI_CS2,72c8a12396bb
LEGOS_II,2017,6,ref_hs_source,NPZ:LEGOS_II_CS2
LEGOS_II,2017,6,ref_hs_hash,6971f8da5f7b
