case,year,month,product,sector,n_cells,hfr_mean,hsc_mean,hfi_mean
B,2013,5,CryoTEMPO_CS2,Western_Weddell,479,0.08698634803295135,0.077768474817276,0.16475482285022736
B,2013,5,CryoTEMPO_CS2,Eastern_Weddell,759,0.051275573670864105,0.035320378839969635,0.08659595996141434
B,2013,5,CryoTEMPO_CS2,Indian,350,0.04031938686966896,0.021599914878606796,0.061919305473566055
B,2013,5,CryoTEMPO_CS2,Western_Pacific,332,0.09927228093147278,0.029314715415239334,0.128587007522583
B,2013,5,CryoTEMPO_CS2,Ross,1018,0.06030732020735741,0.03263508901000023,0.09294240921735764
B,2013,5,CryoTEMPO_CS2,Amundsen_Bellingshausen,343,0.05211322382092476,0.034625012427568436,0.0867382362484932
C,2013,5,CryoTEMPO_CS2,Western_Weddell,479,0.08698634803295135,0.09118226915597916,0.1781686246395111
C,2013,5,CryoTEMPO_CS2,Eastern_Weddell,759,0.051275573670864105,0.04131617769598961,0.09259176254272461
C,2013,5,CryoTEMPO_CS2,Indian,350,0.04031938686966896,0.02537016198039055,0.06568954885005951
C,2013,5,CryoTEMPO_CS2,Western_Pacific,332,0.09927228093147278,0.03427857160568237,0.13355085253715515
C,2013,5,CryoTEMPO_CS2,Ross,1018,0.06030732020735741,0.03834829479455948,0.09865561127662659
C,2013,5,CryoTEMPO_CS2,Amundsen_Bellingshausen,343,0.05211322382092476,0.04061506316065788,0.09272828698158264
D,2013,5,CryoTEMPO_CS2,Western_Weddell,479,0.08698634803295135,0.07770287990570068,0.16468922793865204
D,2013,5,CryoTEMPO_CS2,Eastern_Weddell,759,0.051275573670864105,0.03520844131708145,0.08648402243852615
D,2013,5,CryoTEMPO_CS2,Indian,350,0.04031938686966896,0.021619711071252823,0.06193909794092178
D,2013,5,CryoTEMPO_CS2,Western_Pacific,332,0.09927228093147278,0.029211198911070824,0.12848348915576935
D,2013,5,CryoTEMPO_CS2,Ross,1018,0.06030732020735741,0.032679297029972076,0.09298661351203918
D,2013,5,CryoTEMPO_CS2,Amundsen_Bellingshausen,343,0.05211322382092476,0.03461097180843353,0.086724191904068
A,2013,6,CCI_CS2,Western_Weddell,499,0.11345311254262924,0.08100642263889313,0.19445954263210297
A,2013,6,CCI_CS2,Eastern_Weddell,1007,0.08895371109247208,0.04058920964598656,0.12954291701316833
A,2013,6,CCI_CS2,Indian,680,0.03174977749586105,0.024439683184027672,0.056189462542533875
