case,year,month,sector,variable,spread,n_products
A,2015,7,Amundsen_Bellingshausen,hfi,0.049692489206790924,5
A,2015,7,Amundsen_Bellingshausen,hfr,0.0427083745598793,5
A,2015,7,Amundsen_Bellingshausen,hsc,0.02594440057873726,5
A,2015,7,Eastern_Weddell,hfi,0.07197706401348114,5
A,2015,7,Eastern_Weddell,hfr,0.06469620019197464,5
A,2015,7,Eastern_Weddell,hsc,0.012834332883358002,5
A,2015,7,Indian,hfi,0.02771829068660736,5
A,2015,7,Indian,hfr,0.029642637819051743,5
A,2015,7,Indian,hsc,0.01536119170486927,5
A,2015,7,Ross,hfi,0.05578914284706116,5
A,2015,7,Ross,hfr,0.04795452207326889,5
A,2015,7,Ross,hsc,0.02509244903922081,5
A,2015,7,Western_Pacific,hfi,0.0307372584939003,5
A,2015,7,Western_Pacific,hfr,0.023808971047401428,5
A,2015,7,Western_Pacific,hsc,0.017391514033079147,5
A,2015,7,Western_Weddell,hfi,0.08645199239253998,5
A,2015,7,Western_Weddell,hfr,0.08224974572658539,5
A,2015,7,Western_Weddell,hsc,0.02914924919605255,5
A,2015,8,Amundsen_Bellingshausen,hfi,0.06667998433113098,5
A,2015,8,Amundsen_Bellingshausen,hfr,0.05642738938331604,5
A,2015,8,Amundsen_Bellingshausen,hsc,0.024518616497516632,5
A,2015,8,Eastern_Weddell,hfi,0.08162592351436615,5
A,2015,8,Eastern_Weddell,hfr,0.0732102021574974,5
A,2015,8,Eastern_Weddell,hsc,0.013303980231285095,5
A,2015,8,Indian,hfi,0.03993869572877884,5
A,2015,8,Indian,hfr,0.036610350012779236,5
A,2015,8,Indian,hsc,0.022210802882909775,5
A,2015,8,Ross,hfi,0.044239431619644165,5
A,2015,8,Ross,hfr,0.04121846705675125,5
A,2015,8,Ross,hsc,0.02947222627699375,5
A,2015,8,Western_Pacific,hfi,0.048383764922618866,5
A,2015,8,Western_Pacific,hfr,0.05056887865066528,5
A,2015,8,Western_Pacific,hsc,0.02986331284046173,5
A,2015,8,Western_Weddell,hfi,0.10158798098564148,5
A,2015,8,Western_Weddell,hfr,0.09207600355148315,5
A,2015,8,Western_Weddell,hsc,0.026510324329137802,5
A,2015,9,Amundsen_Bellingshausen,hfi,0.07400001585483551,5
A,2015,9,Amundsen_Bellingshausen,hfr,0.054393187165260315,5
A,2015,9,Amundsen_Bellingshausen,hsc,0.03326178342103958,5
A,2015,9,Eastern_Weddell,hfi,0.08111851662397385,5
A,2015,9,Eastern_Weddell,hfr,0.06975704431533813,5
A,2015,9,Eastern_Weddell,hsc,0.017402347177267075,5
A,2015,9,Indian,hfi,0.0429227277636528,5
A,2015,9,Indian,hfr,0.04643196985125542,5
A,2015,9,Indian,hsc,0.02063942700624466,5
A,2015,9,Ross,hfi,0.051226645708084106,5
A,2015,9,Ross,hfr,0.038237206637859344,5
A,2015,9,Ross,hsc,0.027436118572950363,5
A,2015,9,Western_Pacific,hfi,0.04977308213710785,5
A,2015,9,Western_Pacific,hfr,0.04716891795396805,5
A,2015,9,Western_Pacific,hsc,0.026973595842719078,5
A,2015,9,Western_Weddell,hfi,0.09460969269275665,5
A,2015,9,Western_Weddell,hfr,0.07795558124780655,5
A,2015,9,Western_Weddell,hsc,0.025323402136564255,5
A,2015,10,Amundsen_Bellingshausen,hfi,0.04772903770208359,5
A,2015,10,Amundsen_Bellingshausen,hfr,0.04347819834947586,5
A,2015,10,Amundsen_Bellingshausen,hsc,0.018902365118265152,5
A,2015,10,Eastern_Weddell,hfi,0.0912618339061737,5
A,2015,10,Eastern_Weddell,hfr,0.06721201911568642,5
A,2015,10,Eastern_Weddell,hsc,0.022626075893640518,5
A,2015,10,Indian,hfi,0.0371413417160511,5
A,2015,10,Indian,hfr,0.035972679033875465,5
A,2015,10,Indian,hsc,0.020199693739414215,5
A,2015,10,Ross,hfi,0.04126105457544327,5
A,2015,10,Ross,hfr,0.0376863107085228,5
A,2015,10,Ross,hsc,0.014284759759902954,5
A,2015,10,Western_Pacific,hfi,0.04244738072156906,5
A,2015,10,Western_Pacific,hfr,0.04605948552489281,5
A,2015,10,Western_Pacific,hsc,0.02142137475311756,5
A,2015,10,Western_Weddell,hfi,0.12115362286567688,5
A,2015,10,Western_Weddell,hfr,0.08737051486968994,5
A,2015,10,Western_Weddell,hsc,0.023381046950817108,5
A,2016,5,Amundsen_Bellingshausen,hfi,0.03114672750234604,5
A,2016,5,Amundsen_Bellingshausen,hfr,0.025062255561351776,5
A,2016,5,Amundsen_Bellingshausen,hsc,0.03426714614033699,5
A,2016,5,Eastern_Weddell,hfi,0.030646517872810364,5
A,2016,5,Eastern_Weddell,hfr,0.032412994652986526,5
A,2016,5,Eastern_Weddell,hsc,0.015721743926405907,5
A,2016,5,Indian,hfi,0.015602201223373413,5
A,2016,5,Indian,hfr,0.024562310427427292,5
A,2016,5,Indian,hsc,0.01225953921675682,5
A,2016,5,Ross,hfi,0.01212012767791748,5
A,2016,5,Ross,hfr,0.02557583525776863,5
A,2016,5,Ross,hsc,0.019192831590771675,5
A,2016,5,Western_Pacific,hfi,0.030050024390220642,5
A,2016,5,Western_Pacific,hfr,0.017869509756565094,5
A,2016,5,Western_Pacific,hsc,0.021060289815068245,5
A,2016,5,Western_Weddell,hfi,0.06813456118106842,5
A,2016,5,Western_Weddell,hfr,0.06914862245321274,5
A,2016,5,Western_Weddell,hsc,0.05093557760119438,5
A,2016,6,Amundsen_Bellingshausen,hfi,0.05376683920621872,5
A,2016,6,Amundsen_Bellingshausen,hfr,0.06192069500684738,5
A,2016,6,Amundsen_Bellingshausen,hsc,0.016270756721496582,5
A,2016,6,Eastern_Weddell,hfi,0.02780786156654358,5
A,2016,6,Eastern_Weddell,hfr,0.03773534670472145,5
A,2016,6,Eastern_Weddell,hsc,0.014887778088450432,5
A,2016,6,Indian,hfi,0.02188848704099655,5
A,2016,6,Indian,hfr,0.02345232665538788,5
A,2016,6,Indian,hsc,0.015868542715907097,5
A,2016,6,Ross,hfi,0.028357453644275665,5
A,2016,6,Ross,hfr,0.04003468528389931,5
A,2016,6,Ross,hsc,0.020567115396261215,5
A,2016,6,Western_Pacific,hfi,0.03357870876789093,5
A,2016,6,Western_Pacific,hfr,0.029171712696552277,5
A,2016,6,Western_Pacific,hsc,0.019206266850233078,5
A,2016,6,Western_Weddell,hfi,0.07620802521705627,5
A,2016,6,Western_Weddell,hfr,0.06384430825710297,5
A,2016,6,Western_Weddell,hsc,0.05438663437962532,5
A,2016,7,Amundsen_Bellingshausen,hfi,0.035501629114151,5
A,2016,7,Amundsen_Bellingshausen,hfr,0.042609475553035736,5
A,2016,7,Amundsen_Bellingshausen,hsc,0.024345064535737038,5
A,2016,7,Eastern_Weddell,hfi,0.03876718878746033,5
A,2016,7,Eastern_Weddell,hfr,0.05119273066520691,5
A,2016,7,Eastern_Weddell,hsc,0.01915317215025425,5
A,2016,7,Indian,hfi,0.021148614585399628,5
A,2016,7,Indian,hfr,0.025837764143943787,5
A,2016,7,Indian,hsc,0.016916854307055473,5
A,2016,7,Ross,hfi,0.037965886294841766,5
A,2016,7,Ross,hfr,0.036090265959501266,5
A,2016,7,Ross,hsc,0.021250847727060318,5
A,2016,7,Western_Pacific,hfi,0.03812990337610245,5
A,2016,7,Western_Pacific,hfr,0.030452601611614227,5
A,2016,7,Western_Pacific,hsc,0.02249186672270298,5
A,2016,7,Western_Weddell,hfi,0.07312898337841034,5
A,2016,7,Western_Weddell,hfr,0.06622906774282455,5
A,2016,7,Western_Weddell,hsc,0.046704184263944626,5
A,2016,8,Amundsen_Bellingshausen,hfi,0.06447233259677887,5
A,2016,8,Amundsen_Bellingshausen,hfr,0.05151110142469406,5
A,2016,8,Amundsen_Bellingshausen,hsc,0.0319364070892334,5
A,2016,8,Eastern_Weddell,hfi,0.04710858315229416,5
A,2016,8,Eastern_Weddell,hfr,0.053425684571266174,5
A,2016,8,Eastern_Weddell,hsc,0.019772037863731384,5
A,2016,8,Indian,hfi,0.029062163084745407,5
A,2016,8,Indian,hfr,0.02146865427494049,5
A,2016,8,Indian,hsc,0.019580857828259468,5
A,2016,8,Ross,hfi,0.054075829684734344,5
A,2016,8,Ross,hfr,0.04849034920334816,5
A,2016,8,Ross,hsc,0.02757689170539379,5
A,2016,8,Western_Pacific,hfi,0.0407291054725647,5
A,2016,8,Western_Pacific,hfr,0.030077777802944183,5
A,2016,8,Western_Pacific,hsc,0.0214958768337965,5
A,2016,8,Western_Weddell,hfi,0.06502805650234222,5
A,2016,8,Western_Weddell,hfr,0.06213582307100296,5
A,2016,8,Western_Weddell,hsc,0.038373056799173355,5
A,2016,9,Amundsen_Bellingshausen,hfi,0.05356214940547943,5
A,2016,9,Amundsen_Bellingshausen,hfr,0.05242972820997238,5
A,2016,9,Amundsen_Bellingshausen,hsc,0.020792629569768906,5
A,2016,9,Eastern_Weddell,hfi,0.07382934540510178,5
A,2016,9,Eastern_Weddell,hfr,0.06469369679689407,5
A,2016,9,Eastern_Weddell,hsc,0.014772176742553711,5
A,2016,9,Indian,hfi,0.03998754173517227,5
A,2016,9,Indian,hfr,0.034699564799666405,5
A,2016,9,Indian,hsc,0.019703103229403496,5
A,2016,9,Ross,hfi,0.0509633868932724,5
A,2016,9,Ross,hfr,0.04373309016227722,5
A,2016,9,Ross,hsc,0.02205277420580387,5
A,2016,9,Western_Pacific,hfi,0.05063565820455551,5
A,2016,9,Western_Pacific,hfr,0.04992121458053589,5
A,2016,9,Western_Pacific,hsc,0.03601957857608795,5
A,2016,9,Western_Weddell,hfi,0.08726415038108826,5
A,2016,9,Western_Weddell,hfr,0.07229403406381607,5
A,2016,9,Western_Weddell,hsc,0.024782057851552963,5
A,2016,10,Amundsen_Bellingshausen,hfi,0.06261608749628067,5
A,2016,10,Amundsen_Bellingshausen,hfr,0.04371539503335953,5
A,2016,10,Amundsen_Bellingshausen,hsc,0.02345549501478672,5
A,2016,10,Eastern_Weddell,hfi,0.0990787073969841,5
A,2016,10,Eastern_Weddell,hfr,0.0786651223897934,5
A,2016,10,Eastern_Weddell,hsc,0.03174524009227753,5
A,2016,10,Indian,hfi,0.05449804663658142,5
A,2016,10,Indian,hfr,0.04278975911438465,5
A,2016,10,Indian,hsc,0.026227733120322227,5
A,2016,10,Ross,hfi,0.048410408198833466,5
A,2016,10,Ross,hfr,0.0409168116748333,5
A,2016,10,Ross,hsc,0.020215101540088654,5
A,2016,10,Western_Pacific,hfi,0.034458912909030914,5
A,2016,10,Western_Pacific,hfr,0.0497756227850914,5
A,2016,10,Western_Pacific,hsc,0.032886847853660583,5
A,2016,10,Western_Weddell,hfi,0.12179780006408691,5
A,2016,10,Western_Weddell,hfr,0.080840352922678,5
A,2016,10,Western_Weddell,hsc,0.0313979797065258,5
A,2017,5,Amundsen_Bellingshausen,hfi,0.023794852197170258,5
A,2017,5,Amundsen_Bellingshausen,hfr,0.023940391838550568,5
A,2017,5,Amundsen_Bellingshausen,hsc,0.03220691159367561,5
A,2017,5,Eastern_Weddell,hfi,0.025084950029850006,5
A,2017,5,Eastern_Weddell,hfr,0.04390667378902435,5
A,2017,5,Eastern_Weddell,hsc,0.025320814922451973,5
A,2017,5,Indian,hfi,0.01978766918182373,5
A,2017,5,Indian,hfr,0.028578605502843857,5
A,2017,5,Indian,hsc,0.017151784151792526,5
A,2017,5,Ross,hfi,0.009623751044273376,5
A,2017,5,Ross,hfr,0.022392820566892624,5
A,2017,5,Ross,hsc,0.02278042398393154,5
A,2017,5,Western_Pacific,hfi,0.026225917041301727,5
A,2017,5,Western_Pacific,hfr,0.01335829496383667,5
A,2017,5,Western_Pacific,hsc,0.025860896334052086,5
A,2017,5,Western_Weddell,hfi,0.04725196957588196,5
A,2017,5,Western_Weddell,hfr,0.05101478099822998,5
A,2017,5,Western_Weddell,hsc,0.05633331835269928,5
A,2017,6,Amundsen_Bellingshausen,hfi,0.01157042384147644,5
A,2017,6,Amundsen_Bellingshausen,hfr,0.026223227381706238,5
A,2017,6,Amundsen_Bellingshausen,hsc,0.025889839977025986,5
A,2017,6,Eastern_Weddell,hfi,0.038657113909721375,5
A,2017,6,Eastern_Weddell,hfr,0.04502999410033226,5
A,2017,6,Eastern_Weddell,hsc,0.02162998728454113,5
A,2017,6,Indian,hfi,0.019543327391147614,5
A,2017,6,Indian,hfr,0.019373010843992233,5
A,2017,6,Indian,hsc,0.017944056540727615,5
A,2017,6,Ross,hfi,0.017718389630317688,5
A,2017,6,Ross,hfr,0.035487618297338486,5
A,2017,6,Ross,hsc,0.020011212676763535,5
A,2017,6,Western_Pacific,hfi,0.028407707810401917,5
A,2017,6,Western_Pacific,hfr,0.019887849688529968,5
